Task ID,Tier,Boss/Activity,Task Name,Explanation
270,Master,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
271,Hard,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
272,Elite,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
273,Master,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
274,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
275,Elite,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
276,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
277,Elite,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
278,Grandmaster,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
279,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
280,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
281,Hard,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
282,Grandmaster,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
283,Hard,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
284,Grandmaster,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
285,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
286,Master,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
287,Grandmaster,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
288,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
289,Elite,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
290,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
291,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
292,Master,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
293,Elite,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
294,Elite,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
295,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
296,Hard,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
297,Grandmaster,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
298,Grandmaster,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
299,Hard,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
300,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
301,Elite,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
302,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
303,Grandmaster,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
304,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
305,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
306,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
307,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
308,Elite,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
309,Hard,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
310,Elite,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
311,Hard,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
312,Elite,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
313,Elite,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
314,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
315,Elite,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
316,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
317,Elite,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
318,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
319,Master,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
320,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
321,Grandmaster,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
322,Elite,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
323,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
324,Master,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
325,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
326,Hard,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
327,Grandmaster,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
328,Hard,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
329,Master,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
330,Grandmaster,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
331,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
332,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
333,Elite,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
334,Elite,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
335,Master,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
336,Grandmaster,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
337,Grandmaster,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
338,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
339,Elite,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
340,Master,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
341,Elite,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
342,Grandmaster,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
343,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
344,Master,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
345,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
346,Master,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
347,Master,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
348,Master,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
349,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
350,Elite,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
351,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
352,Grandmaster,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
353,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
354,Grandmaster,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
355,Hard,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
356,Master,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
357,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
358,Master,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
359,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
360,Master,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
361,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
362,Grandmaster,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
363,Master,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
364,Elite,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
365,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
366,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
367,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
368,Elite,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
369,Master,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
370,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
371,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
372,Elite,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
373,Elite,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
374,Hard,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
375,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
376,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
377,Master,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
378,Grandmaster,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
379,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
380,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
381,Grandmaster,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
382,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
383,Hard,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
384,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
385,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
386,Grandmaster,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
387,Hard,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
388,Elite,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
389,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
390,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
391,Grandmaster,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
392,Elite,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
393,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
394,Grandmaster,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
395,Grandmaster,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
396,Hard,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
397,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
398,Elite,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
399,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
400,Elite,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
401,Hard,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
402,Hard,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
403,Grandmaster,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
404,Grandmaster,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
405,Hard,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
406,Master,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
407,Grandmaster,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
408,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
409,Elite,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
410,Hard,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
411,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
412,Master,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
413,Hard,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
414,Elite,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
415,Master,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
416,Hard,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
417,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
418,Master,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
419,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
420,Hard,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
421,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
422,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
423,Master,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
424,Hard,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
425,Hard,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
426,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
427,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
428,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
429,Elite,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
430,Grandmaster,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
431,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
432,Master,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
433,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
434,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
435,Master,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
436,Grandmaster,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
437,Grandmaster,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
438,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
439,Hard,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
440,Master,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
441,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
442,Hard,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
443,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
444,Hard,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
445,Master,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
446,Grandmaster,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
447,Hard,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
448,Master,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
449,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
450,Grandmaster,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
451,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
452,Elite,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
453,Master,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
454,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
455,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
456,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
457,Grandmaster,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
458,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
459,Master,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
460,Master,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
461,Grandmaster,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
462,Elite,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
463,Elite,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
464,Elite,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
465,Elite,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
466,Master,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
467,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
468,Master,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
469,Master,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
470,Grandmaster,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
471,Grandmaster,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
472,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
473,Master,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
474,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
475,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
476,Elite,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
477,Grandmaster,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
478,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
479,Master,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
480,Grandmaster,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
481,Elite,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
482,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
483,Master,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
484,Grandmaster,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
485,Grandmaster,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
486,Elite,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
487,Elite,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
488,Grandmaster,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
489,Master,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
490,Grandmaster,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
491,Master,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
492,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
493,Grandmaster,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
494,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
495,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
496,Master,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
497,Hard,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
498,Hard,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
499,Grandmaster,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
500,Master,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
501,Hard,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
502,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
503,Master,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
504,Grandmaster,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
505,Elite,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
506,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
507,Elite,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
508,Elite,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
509,Grandmaster,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
510,Elite,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
511,Elite,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
512,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
513,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
514,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
515,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
516,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
517,Grandmaster,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
518,Master,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
519,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
520,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
521,Grandmaster,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
522,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
523,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
524,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
525,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
526,Hard,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
527,Master,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
528,Hard,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
529,Grandmaster,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
530,Elite,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
531,Master,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
532,Elite,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
533,Master,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
